course_id,branch,track,course_title,difficulty_level,provider,format,description,skills_taught,tools_covered,prerequisite_course_title,estimated_hours,rating,num_reviews,career_paths,industry_sectors
AER-0148,Aerospace Engineering,Computational Fluid Dynamics,Advanced Computational Fluid Dynamics,Advanced,Pluralsight,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Computational Fluid Dynamics, including optimization techniques, edge cases, and current best practices used in Aerospace Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",cfd analysis; orbital mechanics calculations; matlab; cad modeling,star-ccm+; catia; nastran,Applied Computational Fluid Dynamics,46,4.8,605,propulsion engineer; cfd analyst; avionics engineer,defense; aviation
AUT-0128,Automobile Engineering,Automotive Testing and Diagnostics,Advanced Automotive Testing and Diagnostics,Advanced,LinkedIn Learning,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Automotive Testing and Diagnostics, including optimization techniques, edge cases, and current best practices used in Automobile Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",engine design; battery management; automotive diagnostics; vehicle dynamics analysis,carsim; ansys; solidworks,Applied Automotive Testing and Diagnostics,30,3.6,5772,chassis engineer; ev powertrain engineer; automotive design engineer,electric vehicles; manufacturing
MEC-0140,Mechanical Engineering,Mechatronics,Mechatronics Capstone Project,Capstone,Coursera,Blended (Video + Project),"A project-based capstone course where learners apply everything covered across the Mechatronics track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",matlab; fea simulation; autocad; gd&t,autocad; abaqus; fusion 360,Advanced Mechatronics,18,4.0,5310,hvac engineer; automotive engineer; robotics engineer,manufacturing; automotive
PET-0042,Petroleum Engineering,Production Engineering,Introduction to Production Engineering,Beginner,Udemy,Video Course,"This foundational course introduces the core concepts of Production Engineering within Petroleum Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Production Engineering is required, though general familiarity with Petroleum Engineering fundamentals is helpful.",well log interpretation; petroleum economics; drilling engineering analysis; reservoir simulation,eclipse; prosper; petrel,None,11,4.1,1281,petroleum geologist; drilling engineer; production engineer,engineering consulting; energy
MEC-0047,Mechanical Engineering,CAD and CAM,Advanced CAD and CAM,Advanced,Pluralsight,Blended (Video + Project),"This advanced course covers complex, industry-relevant topics in CAD and CAM, including optimization techniques, edge cases, and current best practices used in Mechanical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",solidworks; cnc programming; thermodynamic analysis; gd&t,matlab; ansys; creo,Applied CAD and CAM,50,4.1,2348,mechanical design engineer; quality engineer; robotics engineer,aerospace; heavy machinery
ECE-0047,Electronics & Communication Engineering,Communication Systems,Advanced Communication Systems,Advanced,FutureLearn,Instructor-led Live,"This advanced course covers complex, industry-relevant topics in Communication Systems, including optimization techniques, edge cases, and current best practices used in Electronics & Communication Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",microcontroller programming; verilog; pcb design; circuit design,arduino; matlab; keil,Applied Communication Systems,48,4.2,2087,vlsi design engineer; rf engineer; embedded systems engineer,telecommunications; semiconductor
AUT-0107,Automobile Engineering,Transmission Systems,Advanced Transmission Systems,Advanced,FutureLearn,Instructor-led Live,"This advanced course covers complex, industry-relevant topics in Transmission Systems, including optimization techniques, edge cases, and current best practices used in Automobile Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",battery management; vehicle dynamics analysis; engine design; cad modeling,catia; ansys; carsim,Applied Transmission Systems,45,4.1,2891,automotive electronics engineer; vehicle testing engineer; ev powertrain engineer,manufacturing; electric vehicles
AUT-0121,Automobile Engineering,Automotive Testing and Diagnostics,Introduction to Automotive Testing and Diagnostics,Beginner,FutureLearn,Interactive Lab,"This foundational course introduces the core concepts of Automotive Testing and Diagnostics within Automobile Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Automotive Testing and Diagnostics is required, though general familiarity with Automobile Engineering fundamentals is helpful.",cad modeling; vehicle dynamics analysis; automotive diagnostics; engine design,ansys; catia; carsim,None,13,3.7,3171,ev powertrain engineer; vehicle testing engineer; chassis engineer,logistics; automotive
PET-0184,Petroleum Engineering,Carbon Capture and Storage,Applied Carbon Capture and Storage,Intermediate,Udacity,Blended (Video + Project),"Building on foundational knowledge, this course goes deeper into Carbon Capture and Storage, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Carbon Capture and Storage concepts to realistic scenarios.",petroleum economics; reservoir simulation; hse compliance; well log interpretation,matlab; petrel; prosper,Introduction to Carbon Capture and Storage,24,4.2,4775,drilling engineer; production engineer; reservoir engineer,offshore drilling; energy
AUT-0106,Automobile Engineering,Transmission Systems,Applied Transmission Systems,Intermediate,FutureLearn,Self-paced Reading,"Building on foundational knowledge, this course goes deeper into Transmission Systems, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Transmission Systems concepts to realistic scenarios.",automotive diagnostics; vehicle dynamics analysis; battery management; engine design,matlab; carsim; ansys,Introduction to Transmission Systems,20,3.8,5453,vehicle testing engineer; ev powertrain engineer; chassis engineer,logistics; electric vehicles
EEE-0078,Electrical Engineering,High Voltage Engineering,Advanced High Voltage Engineering,Advanced,Udemy,Blended (Video + Project),"This advanced course covers complex, industry-relevant topics in High Voltage Engineering, including optimization techniques, edge cases, and current best practices used in Electrical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",circuit design; electrical machine design; matlab simulink; protection relay coordination,matlab simulink; plc software; labview,Applied High Voltage Engineering,46,3.9,3280,control systems engineer; electrical design engineer; power systems engineer,utilities; renewable energy
IPE-0190,Industrial and Production Engineering,Industry 4.0,Industry 4.0 Capstone Project,Capstone,Udacity,Instructor-led Live,"A project-based capstone course where learners apply everything covered across the Industry 4.0 track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",six sigma; lean manufacturing; erp systems; supply chain analysis,sap; ms project; minitab,Advanced Industry 4.0,21,3.9,1256,process improvement engineer; quality engineer; supply chain analyst,automotive; logistics
ENV-0145,Environmental Engineering,Soil Remediation,Applied Soil Remediation,Intermediate,Coursera,Blended (Video + Project),"Building on foundational knowledge, this course goes deeper into Soil Remediation, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Soil Remediation concepts to realistic scenarios.",environmental impact assessment; sustainability reporting; waste management planning; water quality analysis,autocad civil 3d; epanet; arcgis,Introduction to Soil Remediation,37,4.4,1791,environmental engineer; environmental analyst; EHS specialist,construction; utilities
AER-0122,Aerospace Engineering,Gas Turbine Engineering,Introduction to Gas Turbine Engineering,Beginner,FutureLearn,Interactive Lab,"This foundational course introduces the core concepts of Gas Turbine Engineering within Aerospace Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Gas Turbine Engineering is required, though general familiarity with Aerospace Engineering fundamentals is helpful.",orbital mechanics calculations; cad modeling; flight dynamics; aircraft structural analysis,ansys fluent; star-ccm+; nastran,None,17,3.9,5011,propulsion engineer; aerospace design engineer; cfd analyst,aviation; defense
AUT-0143,Automobile Engineering,Fuel Systems Engineering,Introduction to Fuel Systems Engineering,Beginner,NPTEL,Interactive Lab,"This foundational course introduces the core concepts of Fuel Systems Engineering within Automobile Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Fuel Systems Engineering is required, though general familiarity with Automobile Engineering fundamentals is helpful.",battery management; automotive diagnostics; vehicle dynamics analysis; cad modeling,solidworks; catia; ansys,None,20,4.6,5299,vehicle testing engineer; automotive electronics engineer; automotive design engineer,manufacturing; automotive
IPE-0097,Industrial and Production Engineering,Enterprise Resource Planning,Advanced Enterprise Resource Planning,Advanced,Coursera,Video Course,"This advanced course covers complex, industry-relevant topics in Enterprise Resource Planning, including optimization techniques, edge cases, and current best practices used in Industrial and Production Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",simulation modeling; lean manufacturing; six sigma; supply chain analysis,minitab; sap; tableau,Applied Enterprise Resource Planning,38,4.0,4769,industrial engineer; quality engineer; supply chain analyst,logistics; manufacturing
CHE-0054,Chemical Engineering,Fluid Mechanics for Process Industries,Applied Fluid Mechanics for Process Industries,Intermediate,LinkedIn Learning,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Fluid Mechanics for Process Industries, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Fluid Mechanics for Process Industries concepts to realistic scenarios.",mass balance; process control; aspen plus; reactor design,autocad p&id; matlab; aspen plus,Introduction to Fluid Mechanics for Process Industries,36,4.1,4411,plant engineer; chemical process consultant; safety engineer,food processing; oil and gas
EEE-0101,Electrical Engineering,Microgrid Design,Introduction to Microgrid Design,Beginner,Udacity,Interactive Lab,"This foundational course introduces the core concepts of Microgrid Design within Electrical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Microgrid Design is required, though general familiarity with Electrical Engineering fundamentals is helpful.",protection relay coordination; circuit design; electrical machine design; matlab simulink,autocad electrical; pspice; matlab simulink,None,11,3.7,3040,electrical design engineer; power systems engineer; automation engineer,utilities; manufacturing
MEC-0088,Mechanical Engineering,Automotive Systems,Advanced Automotive Systems,Advanced,LinkedIn Learning,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Automotive Systems, including optimization techniques, edge cases, and current best practices used in Mechanical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",cnc programming; autocad; gd&t; cad modeling,matlab; abaqus; solidworks,Applied Automotive Systems,45,3.8,1881,automotive engineer; quality engineer; hvac engineer,energy; automotive
BME-0082,Biomedical Engineering,Rehabilitation Engineering,Introduction to Rehabilitation Engineering,Beginner,Pluralsight,Blended (Video + Project),"This foundational course introduces the core concepts of Rehabilitation Engineering within Biomedical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Rehabilitation Engineering is required, though general familiarity with Biomedical Engineering fundamentals is helpful.",biomedical signal processing; biomechanics analysis; regulatory compliance; medical device design,python; matlab; labview,None,20,4.8,355,rehabilitation engineer; clinical engineer; medical device engineer,healthcare; research institutes
CIV-0034,Civil Engineering,Surveying,Applied Surveying,Intermediate,edX,Self-paced Reading,"Building on foundational knowledge, this course goes deeper into Surveying, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Surveying concepts to realistic scenarios.",soil testing; cost estimation; concrete design; structural analysis,etabs; staad pro; revit,Introduction to Surveying,27,4.6,1718,site engineer; structural engineer; construction manager,infrastructure; construction
AUT-0173,Automobile Engineering,Automotive Emissions Control,Introduction to Automotive Emissions Control,Beginner,LinkedIn Learning,Instructor-led Live,"This foundational course introduces the core concepts of Automotive Emissions Control within Automobile Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Automotive Emissions Control is required, though general familiarity with Automobile Engineering fundamentals is helpful.",vehicle dynamics analysis; cad modeling; battery management; engine design,ansys; solidworks; catia,None,14,4.0,3744,chassis engineer; ev powertrain engineer; vehicle testing engineer,electric vehicles; logistics
AER-0164,Aerospace Engineering,Space Mission Design,Applied Space Mission Design,Intermediate,Udacity,Video Course,"Building on foundational knowledge, this course goes deeper into Space Mission Design, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Space Mission Design concepts to realistic scenarios.",cfd analysis; cad modeling; orbital mechanics calculations; matlab,catia; stk; matlab,Introduction to Space Mission Design,33,4.7,1546,propulsion engineer; aerospace design engineer; avionics engineer,defense; space technology
CSE-0123,Computer Science Engineering,DevOps Engineering,Introduction to DevOps Engineering,Beginner,edX,Instructor-led Live,"This foundational course introduces the core concepts of DevOps Engineering within Computer Science Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in DevOps Engineering is required, though general familiarity with Computer Science Engineering fundamentals is helpful.",rest api; docker; sql; python,vscode; github; jenkins,None,19,4.5,4159,security analyst; ml engineer; backend developer,telecommunications; e-commerce
ENV-0076,Environmental Engineering,Renewable Energy for Sustainability,Applied Renewable Energy for Sustainability,Intermediate,Coursera,Blended (Video + Project),"Building on foundational knowledge, this course goes deeper into Renewable Energy for Sustainability, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Renewable Energy for Sustainability concepts to realistic scenarios.",environmental impact assessment; waste management planning; gis mapping; sustainability reporting,arcgis; surfer; epanet,Introduction to Renewable Energy for Sustainability,36,4.9,2776,water resources engineer; sustainability consultant; environmental engineer,consulting; utilities
ENV-0017,Environmental Engineering,Air Pollution Control,Advanced Air Pollution Control,Advanced,Udemy,Self-paced Reading,"This advanced course covers complex, industry-relevant topics in Air Pollution Control, including optimization techniques, edge cases, and current best practices used in Environmental Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",gis mapping; environmental impact assessment; water quality analysis; waste management planning,matlab; autocad civil 3d; arcgis,Applied Air Pollution Control,45,4.0,3658,sustainability consultant; environmental engineer; water resources engineer,construction; manufacturing
CSE-0090,Computer Science Engineering,Software Engineering,Software Engineering Capstone Project,Capstone,Udacity,Self-paced Reading,"A project-based capstone course where learners apply everything covered across the Software Engineering track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",linux; sql; java; python,tensorflow; azure; postman,Advanced Software Engineering,26,3.7,426,data scientist; cloud engineer; security analyst,consulting; finance
BME-0006,Biomedical Engineering,Biomechanics,Applied Biomechanics,Intermediate,Udacity,Video Course,"Building on foundational knowledge, this course goes deeper into Biomechanics, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Biomechanics concepts to realistic scenarios.",matlab; biomechanics analysis; regulatory compliance; medical device design,labview; ansys; solidworks,Introduction to Biomechanics,39,4.3,915,regulatory affairs specialist; clinical engineer; rehabilitation engineer,healthcare; pharmaceutical
PET-0080,Petroleum Engineering,Offshore Engineering,Offshore Engineering Capstone Project,Capstone,Udacity,Instructor-led Live,"A project-based capstone course where learners apply everything covered across the Offshore Engineering track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",reservoir simulation; petroleum economics; well log interpretation; hse compliance,eclipse; autocad; prosper,Advanced Offshore Engineering,23,4.7,2765,production engineer; hse engineer; drilling engineer,energy; oil and gas
CIV-0047,Civil Engineering,Transportation Engineering,Advanced Transportation Engineering,Advanced,LinkedIn Learning,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Transportation Engineering, including optimization techniques, edge cases, and current best practices used in Civil Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",project scheduling; soil testing; concrete design; structural analysis,etabs; primavera; ms project,Applied Transportation Engineering,55,4.0,2209,urban planner; geotechnical engineer; transportation engineer,government; infrastructure
EEE-0163,Electrical Engineering,Electromagnetics,Introduction to Electromagnetics,Beginner,LinkedIn Learning,Self-paced Reading,"This foundational course introduces the core concepts of Electromagnetics within Electrical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Electromagnetics is required, though general familiarity with Electrical Engineering fundamentals is helpful.",circuit design; protection relay coordination; plc programming; matlab simulink,labview; plc software; pspice,None,10,4.3,3018,power systems engineer; automation engineer; energy consultant,power and energy; renewable energy
IPE-0138,Industrial and Production Engineering,Project Management for Engineers,Advanced Project Management for Engineers,Advanced,FutureLearn,Self-paced Reading,"This advanced course covers complex, industry-relevant topics in Project Management for Engineers, including optimization techniques, edge cases, and current best practices used in Industrial and Production Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",six sigma; supply chain analysis; simulation modeling; erp systems,tableau; arena simulation; sap,Applied Project Management for Engineers,53,4.4,3473,industrial engineer; supply chain analyst; quality engineer,manufacturing; automotive
CHE-0107,Chemical Engineering,Plant Safety and Hazard Analysis,Advanced Plant Safety and Hazard Analysis,Advanced,Udacity,Video Course,"This advanced course covers complex, industry-relevant topics in Plant Safety and Hazard Analysis, including optimization techniques, edge cases, and current best practices used in Chemical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",reactor design; process control; hazop analysis; aspen plus,matlab; aspen plus; comsol,Applied Plant Safety and Hazard Analysis,44,4.5,5791,plant engineer; refinery engineer; safety engineer,oil and gas; pharmaceutical
MEC-0186,Mechanical Engineering,Six Sigma Quality Control,Applied Six Sigma Quality Control,Intermediate,LinkedIn Learning,Blended (Video + Project),"Building on foundational knowledge, this course goes deeper into Six Sigma Quality Control, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Six Sigma Quality Control concepts to realistic scenarios.",solidworks; thermodynamic analysis; cnc programming; gd&t,autocad; solidworks; creo,Introduction to Six Sigma Quality Control,29,4.0,4585,manufacturing engineer; hvac engineer; automotive engineer,aerospace; automotive
CIV-0048,Civil Engineering,Transportation Engineering,Advanced Transportation Engineering,Advanced,NPTEL,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Transportation Engineering, including optimization techniques, edge cases, and current best practices used in Civil Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",soil testing; structural analysis; concrete design; autocad,staad pro; revit; ms project,Applied Transportation Engineering,35,5.0,5880,geotechnical engineer; site engineer; urban planner,urban development; government
BME-0055,Biomedical Engineering,Medical Device Design,Applied Medical Device Design,Intermediate,Coursera,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Medical Device Design, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Medical Device Design concepts to realistic scenarios.",regulatory compliance; matlab; biomedical signal processing; biomechanics analysis,python; labview; ansys,Introduction to Medical Device Design,39,4.7,554,medical device engineer; biomedical engineer; rehabilitation engineer,pharmaceutical; medical devices
ENV-0007,Environmental Engineering,Water Treatment Engineering,Advanced Water Treatment Engineering,Advanced,NPTEL,Self-paced Reading,"This advanced course covers complex, industry-relevant topics in Water Treatment Engineering, including optimization techniques, edge cases, and current best practices used in Environmental Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",waste management planning; water quality analysis; environmental impact assessment; sustainability reporting,arcgis; surfer; matlab,Applied Water Treatment Engineering,42,3.8,890,environmental engineer; sustainability consultant; EHS specialist,government; construction
MEC-0018,Mechanical Engineering,Fluid Mechanics,Advanced Fluid Mechanics,Advanced,Udacity,Video Course,"This advanced course covers complex, industry-relevant topics in Fluid Mechanics, including optimization techniques, edge cases, and current best practices used in Mechanical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",project management; cad modeling; cnc programming; matlab,solidworks; autocad; creo,Applied Fluid Mechanics,38,4.0,1297,quality engineer; manufacturing engineer; automotive engineer,manufacturing; heavy machinery
ECE-0188,Electronics & Communication Engineering,Semiconductor Devices,Advanced Semiconductor Devices,Advanced,Coursera,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Semiconductor Devices, including optimization techniques, edge cases, and current best practices used in Electronics & Communication Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",microcontroller programming; signal processing; circuit design; pcb design,raspberry pi; matlab; altium designer,Applied Semiconductor Devices,44,4.7,4541,rf engineer; iot developer; embedded systems engineer,automotive; consumer electronics
AER-0170,Aerospace Engineering,Space Mission Design,Space Mission Design Capstone Project,Capstone,Udemy,Instructor-led Live,"A project-based capstone course where learners apply everything covered across the Space Mission Design track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",orbital mechanics calculations; flight dynamics; aircraft structural analysis; cfd analysis,catia; star-ccm+; stk,Advanced Space Mission Design,30,4.2,762,spacecraft systems engineer; cfd analyst; avionics engineer,defense; aerospace
EEE-0055,Electrical Engineering,Renewable Energy Systems,Applied Renewable Energy Systems,Intermediate,FutureLearn,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Renewable Energy Systems, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Renewable Energy Systems concepts to realistic scenarios.",plc programming; circuit design; electrical machine design; protection relay coordination,etap; autocad electrical; pspice,Introduction to Renewable Energy Systems,37,4.7,3363,energy consultant; electrical design engineer; automation engineer,renewable energy; automotive
CHE-0117,Chemical Engineering,Separation Processes,Advanced Separation Processes,Advanced,Pluralsight,Video Course,"This advanced course covers complex, industry-relevant topics in Separation Processes, including optimization techniques, edge cases, and current best practices used in Chemical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",aspen plus; reactor design; process control; hazop analysis,matlab; autocad p&id; aspen plus,Applied Separation Processes,41,4.1,5056,process engineer; plant engineer; refinery engineer,food processing; pharmaceutical
ECE-0114,Electronics & Communication Engineering,RF Circuit Design,Applied RF Circuit Design,Intermediate,FutureLearn,Interactive Lab,"Building on foundational knowledge, this course goes deeper into RF Circuit Design, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply RF Circuit Design concepts to realistic scenarios.",embedded c; vhdl; circuit design; verilog,altium designer; arduino; keil,Introduction to RF Circuit Design,39,4.3,5848,embedded systems engineer; rf engineer; communication systems engineer,consumer electronics; telecommunications
CHE-0039,Chemical Engineering,Heat Transfer Operations,Advanced Heat Transfer Operations,Advanced,Udacity,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Heat Transfer Operations, including optimization techniques, edge cases, and current best practices used in Chemical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",reactor design; process simulation; heat balance; hazop analysis,autocad p&id; hysys; aspen plus,Applied Heat Transfer Operations,53,4.3,621,process engineer; refinery engineer; safety engineer,petrochemical; oil and gas
AER-0085,Aerospace Engineering,Aircraft Design,Applied Aircraft Design,Intermediate,FutureLearn,Blended (Video + Project),"Building on foundational knowledge, this course goes deeper into Aircraft Design, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Aircraft Design concepts to realistic scenarios.",flight dynamics; aircraft structural analysis; cfd analysis; orbital mechanics calculations,nastran; matlab; catia,Introduction to Aircraft Design,21,4.5,495,aerospace design engineer; propulsion engineer; avionics engineer,aerospace; aviation
CSE-0097,Computer Science Engineering,Artificial Intelligence,Advanced Artificial Intelligence,Advanced,Coursera,Self-paced Reading,"This advanced course covers complex, industry-relevant topics in Artificial Intelligence, including optimization techniques, edge cases, and current best practices used in Computer Science Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",sql; java; system design; c++,vscode; jupyter notebook; tensorflow,Applied Artificial Intelligence,41,4.1,2397,systems architect; security analyst; devops engineer,telecommunications; finance
CHE-0042,Chemical Engineering,Reaction Engineering,Introduction to Reaction Engineering,Beginner,Pluralsight,Instructor-led Live,"This foundational course introduces the core concepts of Reaction Engineering within Chemical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Reaction Engineering is required, though general familiarity with Chemical Engineering fundamentals is helpful.",process control; process simulation; reactor design; hazop analysis,matlab; comsol; autocad p&id,None,16,4.6,3514,plant engineer; process engineer; chemical process consultant,food processing; oil and gas
ECE-0146,Electronics & Communication Engineering,Digital Signal Processing,Applied Digital Signal Processing,Intermediate,NPTEL,Video Course,"Building on foundational knowledge, this course goes deeper into Digital Signal Processing, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Digital Signal Processing concepts to realistic scenarios.",embedded c; signal processing; verilog; pcb design,matlab; modelsim; altium designer,Introduction to Digital Signal Processing,28,4.6,2123,iot developer; communication systems engineer; embedded systems engineer,automotive; defense
MEC-0122,Mechanical Engineering,Renewable Energy Systems,Introduction to Renewable Energy Systems,Beginner,Coursera,Blended (Video + Project),"This foundational course introduces the core concepts of Renewable Energy Systems within Mechanical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Renewable Energy Systems is required, though general familiarity with Mechanical Engineering fundamentals is helpful.",cnc programming; gd&t; matlab; ansys,abaqus; matlab; ansys,None,16,4.6,3129,automotive engineer; manufacturing engineer; quality engineer,energy; manufacturing
EEE-0054,Electrical Engineering,Renewable Energy Systems,Applied Renewable Energy Systems,Intermediate,NPTEL,Interactive Lab,"Building on foundational knowledge, this course goes deeper into Renewable Energy Systems, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Renewable Energy Systems concepts to realistic scenarios.",protection relay coordination; plc programming; electrical machine design; power system analysis,autocad electrical; matlab simulink; labview,Introduction to Renewable Energy Systems,25,4.4,5787,electrical design engineer; automation engineer; power systems engineer,automotive; power and energy
CIV-0090,Civil Engineering,Steel Structure Design,Steel Structure Design Capstone Project,Capstone,Udacity,Blended (Video + Project),"A project-based capstone course where learners apply everything covered across the Steel Structure Design track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",structural analysis; soil testing; surveying; concrete design,sap2000; revit; autocad,Advanced Steel Structure Design,23,4.4,2613,transportation engineer; urban planner; structural engineer,construction; infrastructure
CHE-0025,Chemical Engineering,Mass Transfer Operations,Applied Mass Transfer Operations,Intermediate,Coursera,Blended (Video + Project),"Building on foundational knowledge, this course goes deeper into Mass Transfer Operations, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Mass Transfer Operations concepts to realistic scenarios.",hazop analysis; reactor design; process control; process simulation,aspen plus; autocad p&id; matlab,Introduction to Mass Transfer Operations,39,4.6,490,process engineer; plant engineer; refinery engineer,pharmaceutical; petrochemical
IPE-0071,Industrial and Production Engineering,Six Sigma,Introduction to Six Sigma,Beginner,NPTEL,Video Course,"This foundational course introduces the core concepts of Six Sigma within Industrial and Production Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Six Sigma is required, though general familiarity with Industrial and Production Engineering fundamentals is helpful.",six sigma; operations research; simulation modeling; lean manufacturing,minitab; excel; ms project,None,14,4.2,3947,operations manager; process improvement engineer; quality engineer,retail; automotive
ECE-0016,Electronics & Communication Engineering,Analog Electronics,Applied Analog Electronics,Intermediate,Pluralsight,Self-paced Reading,"Building on foundational knowledge, this course goes deeper into Analog Electronics, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Analog Electronics concepts to realistic scenarios.",verilog; microcontroller programming; vhdl; signal processing,arduino; modelsim; keil,Introduction to Analog Electronics,31,4.7,4364,embedded systems engineer; communication systems engineer; vlsi design engineer,automotive; consumer electronics
